ID,Code,Designation,Categorie,Prix_Achat,Prix_Vente,Stock_Initial,Seuil_Min
1,MOT0001,DELCO 4A,MOTEURS,22000.0,,0,5
2,EMB0002,PLATEAU 6BD1,EMBRAYAGE,,,0,5
3,AUT0003,ACCORDÉON,AUTRES,3000.0,,0,5
4,FIL0004,FILTRE A AIR DAF 2800,FILTRES,17000.0,,0,5
5,ROU0005,FER DE ROULEMENT CENTRAL KIA MADEMOISEL,ROULEMENTS,,,0,5
6,MOT0006,PATTE DE MOTEUR FUSO,MOTEURS,,,0,5
7,PIE0007,HABILLAGE DE FAUTEUILLE VIP,PIECES CARROSSERIE,40000.0,,0,5
8,AUT0008,ALARM,AUTRES,,,0,5
9,ACC0009,ALARME,ACCESSOIRES,,,0,5
10,CAB0010,CABLE D'ACCELERATEUR FUSO,CABLES,3000.0,,0,5
11,RET0011,JEUX DE RETROVISEUR L200 2023,RETROVISEURS,,,0,5
12,MOT0012,PATTE DE MOTEUR 5T,MOTEURS,,,0,5
13,AUT0013,AMBOUR MASSA,AUTRES,,,0,5
14,AUT0014,AMBOUR MTN 2011,AUTRES,8000.0,,0,5
15,AUT0015,AMBOUR MTN 2016,AUTRES,8000.0,,0,5
16,PHA0016,AMBOUR PHARE 8 COMPLET,PHARES & FEUX,8000.0,,0,5
17,AUT0017,AMBOUT CARENA 3,AUTRES,5000.0,,0,5
18,CAB0018,CABLE D'ACCELERATEUR 5T,CABLES,3000.0,,0,5
19,JOI0019,JOINT SPIRE DE POLI CANTER 6D31,JOINTS,,,0,5
20,PHA0020,JEUX DE FEU ARR L200 2023,PHARES & FEUX,,,0,5
21,AMO0021,AMORTISSEMENT AVANT CARENA,AMORTISSEURS,,,0,5
22,RES0022,RESSORT COMPLET ARRIERE 5T FUSO KIABA,RESSORTS,40000.0,,0,5
23,POM0023,POMPE A MAIN NISSAN,POMPES,,,0,5
24,AMO0024,AMORTISSEUR ARRIERE 190,AMORTISSEURS,4000.0,,0,5
25,BIE0025,JEUX DE BIELLETTE L200 COTER BOITE,BIELLETTES,9000.0,,0,5
26,AUT0026,COUSINE DE PALIER 4D32 STD,AUTRES,6000.0,,0,5
27,TRA0027,MAYAU DID PAJERO,TRANSMISSION,10000.0,,0,5
28,ACC0028,KLAXON 2 BOUCHE 12V 7000,ACCESSOIRES,,,0,5
29,AMO0029,AMORTISSEUR ARRIERE E100,AMORTISSEURS,6000.0,,0,5
30,AMO0030,JEU AMORTISSEUR ARRIERE KIA,AMORTISSEURS,4000.0,,0,5
31,CYL0031,CYLINDRE DE ROUE AV KIA,CYLINDRES,,,0,5
32,AMO0032,AMORTISSEUR ARRIERE MERCEDES 190,AMORTISSEURS,,,0,5
33,AMO0033,JEUAMORTISSEUR ARRIERE MTN,AMORTISSEURS,6000.0,,0,5
34,CYL0034,CYLINDRE D'EMBREAGE EN HAUT 5T NOUVEAU MODEL,CYLINDRES,13000.0,,0,5
35,AMO0035,AMORTISSEUR ARRIERE RAV 4_2008,AMORTISSEURS,,,0,5
36,AMO0036,AMORTISSEUR ARRIERE RAV 4_96,AMORTISSEURS,,,0,5
37,AMO0037,AMORTISSEUR ARRIERE RAV4 ANNEE 1999 /2005 DROITE,AMORTISSEURS,10000.0,,0,5
38,AMO0038,AMORTISSEUR ARRIERE RAV4 ANNEE 1999 /2005 GAUCHE,AMORTISSEURS,10000.0,,0,5
39,AMO0039,AMORTISSEUR ARRIERE RAV4 ANNEE 2005/2015 DROITE,AMORTISSEURS,10000.0,,0,5
40,AMO0040,AMORTISSEUR ARRIERE RAV4 ANNEE 2005/2015 GAUCHE,AMORTISSEURS,10000.0,,0,5
41,CYL0041,CYLINDRE D'EMBREAGE EN HAUT 4D35,CYLINDRES,10000.0,,0,5
42,AUT0042,PETER EN FER,AUTRES,20000.0,,0,5
43,CYL0043,CYLINDRE D'EMBREAGE EN HAUT WARA,CYLINDRES,10000.0,,0,5
44,AMO0044,AMORTISSEUR AVANT BMW,AMORTISSEURS,5000.0,,0,5
45,AMO0045,JEU AMORTISSEUR AVANT DID,AMORTISSEURS,7000.0,,0,5
46,FIL0046,FILTRE A HUILE KIA,FILTRES,,,0,5
47,AMO0047,AMORTISSEUR AVANT E100,AMORTISSEURS,6000.0,,0,5
48,AMO0048,AMORTISSEUR AVANT KIA,AMORTISSEURS,6000.0,,0,5
49,FIL0049,FILTRE A HUILE 2C COURT,FILTRES,,,0,5
50,CYL0050,CYLINDRE D'EMBREAGE EN HAUT CANTER FUSO,CYLINDRES,10000.0,,0,5
51,AMO0051,AMORTISSEUR AVANT MERCEDES 190,AMORTISSEURS,,,0,5
52,BAG0052,DABAGUEHOU POTO,BAGUES,35000.0,,0,5
53,AMO0053,AMORTISSEUR AVANT PHARE 8,AMORTISSEURS,10000.0,,0,5
54,AMO0054,AMORTISSEUR AVANT RAV 4 COTE GAUCHE,AMORTISSEURS,1000.0,,0,5
55,AMO0055,AMORTISSEUR AVANT RAV 4_2008,AMORTISSEURS,,,0,5
56,AMO0056,AMORTISSEUR AVANT RAV 4_96,AMORTISSEURS,,,0,5
57,AMO0057,AMORTISSEUR AVANT RAV4 COTE DROIT ANNEE 1999,AMORTISSEURS,1000.0,,0,5
58,BAG0058,DABAGUEHOU 4*4 UNIVERSEL DEVANT,BAGUES,35000.0,,0,5
59,AMO0059,AMORTISSEUR AVANT RAV4 COTE DROIT ANNEE 2010,AMORTISSEURS,10000.0,,0,5
60,AMO0060,AMORTISSEUR AVANT RAV4 COTE GAUCHE ANNEE 1999,AMORTISSEURS,10000.0,,0,5
61,AMO0061,AMORTISSEUR AVANT RAV4 COTE GAUCHE ANNEE 2002,AMORTISSEURS,10000.0,,0,5
62,PHA0062,JEUX DE FEU ARR TOYOTA PRADO 2023,PHARES & FEUX,,,0,5
63,CYL0063,CYLINDRE D'EMBREAGE EN HAUT XF RENAULT,CYLINDRES,13000.0,,0,5
64,AMO0064,AMORTISSEUR DE DIRECTION 190,AMORTISSEURS,6000.0,,0,5
65,CYL0065,CYLINDRE D'EMBREAGE EN HAUT VAPEUR,CYLINDRES,10000.0,,0,5
66,AUT0066,ECROU DE FUSER,AUTRES,2500.0,,0,5
67,FRE0067,JEUX DE FERADO ARR CANTER,FREINS,15000.0,,0,5
68,TRA0068,TROMPETTE COMPLET SANS NEZ DE POND,TRANSMISSION,,,0,5
69,AMO0069,AMORTISSEUR OBAMA ARRIERE,AMORTISSEURS,10000.0,,0,5
70,AMO0070,AMORTISSEUR SCOSS ARRIERE L200 DID,AMORTISSEURS,6000.0,,0,5
71,AMO0071,AMORTISSEUR SCOSS AVANT L200 DID,AMORTISSEURS,6000.0,,0,5
72,BAG0072,DABAGUEHOU AVANT 2016,BAGUES,30000.0,,0,5
73,AMO0073,AMORTISSEUR TOYOTA ARRIERE E100,AMORTISSEURS,,,0,5
74,AMO0074,AMORTISSEUR TOYOTA AVANT E100,AMORTISSEURS,,,0,5
75,AUT0075,SNOBLOCK DE COMMENTATEUR KIA,AUTRES,,,0,5
76,AMO0076,JEUX AMORTISSEUR TUKSON,AMORTISSEURS,18000.0,,0,5
77,AUT0077,AMOTRTISSEUR ARRIERE CARENA 3,AUTRES,,,0,5
78,AMP0078,AMPOULE 1 PLOT 12V,AMPOULES,,,0,5
79,AMP0079,AMPOULE 1 PLOT 24V,AMPOULES,60.0,,0,5
80,EMB0080,DISQUE EMBREAGE FUSO 8T EN PATIN,EMBRAYAGE,,,0,5
81,MOT0081,MOTEUR COMPLET RAV4 2002,MOTEURS,600000.0,,0,5
82,AMP0082,AMPOULE 2 PLOT 12 VOLT,AMPOULES,60.0,,0,5
83,AMP0083,AMPOULE 2 PLOT 12V,AMPOULES,,,0,5
84,AMP0084,AMPOULE 2 PLOT 24 VOLT,AMPOULES,,,0,5
85,AUT0085,JEU DE CALANE CANTER,AUTRES,50000.0,,0,5
86,EMB0086,EMBREAGE EN HAUT FUSO,EMBRAYAGE,,,0,5
87,AMP0087,AMPOULE CUIT PLAT 12 VOLT,AMPOULES,,,0,5
88,AMP0088,AMPOULE CUIT PLAT 24 VOLT,AMPOULES,50.0,,0,5
89,EMB0089,EMBREAGE EN HAUT 5T ENCIEN MODEL,EMBRAYAGE,,,0,5
90,AMP0090,AMPOULE DE GABARIE 12 VOLT,AMPOULES,,,0,5
91,AMP0091,AMPOULE DE GABARIE 24 VOLT,AMPOULES,,,0,5
92,FIL0092,FILTRE A HUILE FUSO 6D14 EN CARTON,FILTRES,3000.0,,0,5
93,AMP0093,AMPOULE DE GRAISSAGE,AMPOULES,,,0,5
94,AMP0094,AMPOULE DE GRAISSAGE 12 VOLT,AMPOULES,,,0,5
95,AMP0095,AMPOULE DE GRAISSAGE 24 VOLT PETIT,AMPOULES,,,0,5
96,AMP0096,AMPOULE DE GRAISSAGE 24 VOLT GROS,AMPOULES,,,0,5
97,AMP0097,AMPOULE DE PHARE,AMPOULES,,,0,5
98,AMP0098,AMPOULE H1 12V,AMPOULES,800.0,,0,5
99,AMP0099,AMPOULE H1 24 VOLT,AMPOULES,800.0,,0,5
100,AMP0100,AMPOULE H3 12 VOLT,AMPOULES,,,0,5
101,AMP0101,AMPOULE H3 24 VOLT,AMPOULES,800.0,,0,5
102,AMP0102,AMPOULE H3 24V,AMPOULES,,,0,5
103,AMP0103,AMPOULE H4 12 VOLT,AMPOULES,900.0,,0,5
104,AMP0104,AMPOULE H4 12V,AMPOULES,,,0,5
105,AMP0105,AMPOULE H4 12V ORIGINAL,AMPOULES,,,0,5
106,AMP0106,AMPOULE H4 24 VOLT,AMPOULES,1000.0,,0,5
107,AMP0107,AMPOULE H4 24V,AMPOULES,,,0,5
108,MOT0108,ANCIEN MOTEUR SANS BOITE 4A,MOTEURS,100000.0,,0,5
109,AMP0109,AMPOULE ORDINAIRE 12 VOLT,AMPOULES,,,0,5
110,AMP0110,AMPOULE ORDINAIRE 24 VOLT,AMPOULES,,,0,5
111,BRI0111,BRIDE 32 LG 45,BRIDES,,,0,5
112,BOU0112,TROMPETTE COMPLET 5 BOUCHON 4D33,BOUCHONS,,,0,5
113,AUT0113,SNOBLOCK PETIT TROUS KIA SL,AUTRES,,,0,5
114,PHA0114,FEU ARR ELICO L200,PHARES & FEUX,,,0,5
